1,perspersbbAgamemnon,perspersaferror,τισι,νεωτεροι,ειρηκεν,ποιει,εδει,perspersaAchilles,αυτον,τουτον
2,διασταλτεον,βραχυ,στικτεον,εξης,τελος,στιχου,εμφαινει,υποστικτεον,εως,λογος
3,λεγει,εξης,ανω,αρχης,βελτιον,ελλειπει,δυναται,ιν,perspersagHomer,μεσου
4,αλλοι,χωρις,συνδεσμος,περισσος,εξης,κειται,ταχεως,δε,perspershZeus,λεγει
5,γραφεται,ολον,perspersaehPatroclus,αναφορα,perspersaeerror,προειρηται,perspersagbHector,ηθικως,προτερον,τοπος
6,εχει,ειπεν,of,perspersafAristarchus,Ascalon,perspersdhePtolemy,ληγοντα,εγενετο,ομοιως,περισπαστεον
7,perspershZeus,φησιν,ομοιως,ενθαδε,οπερ,ημεις,λεγεται,δυναται,⁚,λεγει
8,perspersaaiMenelaus,εξω,πως,perspershZeus,perspersaahOdysseus,αλλ,perspersaAchilles,αναστρεπτεον,προθεσιν,αυτω
9,ονομα,λεγειν,πολις,ονοματα,αχαιων,αυτω,perspershZeus,εμφασιν,πολλων,δηλοι
10,διχως,θηλυκως,αυτοις,ιακως,ιλιον,λεγει,ειδος,θεοις,δηλονοτι,ποταμος
11,σημειουνται,perspersagbHector,πληθυντικως,ποιητης,perspersaAchilles,πολεμω,δορυ,ειωθε,φασιν,γινεται
12,perspersafAristarchus,perspersaeZenodotus,γραφει,perspersbaAristophanes,λειπει,χωρις,αυτω,ομοιως,ουχι,τελους
13,ενταυθα,απαξ,αθετειται,κεχρηται,λεγει,κυριως,καιρον,perspersaAchilles,ειρηκε,πως
14,σχημα,ειρηται,perspersdgPoseidon,σημαινομενον,τουτεστι,ενος,γραφουσι,παντες,διαστολη,perspersagHomer
15,αλλ,λογος,παντων,καλως,σοι,ελληνων,τοπω,αναγνωστεον,εθος,εδηλωσεν
16,δηλοι,προθεσις,πτωσις,ηλλακται,προσωπον,perspersagHomer,αλλ,λογος,ηδη,μονον
17,αθετουνται,στιχοι,θεων,εως,μερος,λεγει,λογου,σαφως,perspersfgAthena,perspersaafHera
