1,ειπεν,οιον,λεγει,αλλ,δι,πασα,αει,λογος,αυτω,perspershZeus,φωτος,σφαιροειδης,ουσα,μονον,λεγεται
2,γραφεται,καλως,λεγει,ονομα,perspersagHomer,αει,perspershZeus,παρ,τρωων,τρια,ουχι,δεικνυσι,αυτας,οθεν,μεσημβριας
3,perspershZeus,εξης,perspersaAchilles,αυτω,φαντασιαν,φαμεν,ελληνων,perspersaeZenodotus,πως,ενταυθα,φασιν,προβαλλεται,μοιριδιον,ελληνας,δηλοι
4,perspersagbHector,εξης,δηλοι,perspersafAristarchus,εχει,χωρις,στρατηγικως,αυτω,εμφασιν,ελληνων,perspersbbAgamemnon,ιν,μαχην,ιππων,ειπεν
5,οθεν,perspershZeus,αλλαχου,φησιν,δηλοι,perspersagbHector,δε,καθ,με,⸌,οικειον,perspersbaeDiomedes,λειπει,ελλησιν,δεικνυς
6,perspersaeZenodotus,δηλοι,perspershZeus,βουλεται,τουτον,πολεμιων,ονοματα,εξης,τρωας,οιδε,μονον,λεγει,ιπποις,αυτου,perspersdHesiod
7,perspershZeus,αλλ,κοινον,ποιητης,αντικρυς,ημεις,μεταξυ,φυγην,πιθανως,ητταν,αυτω,τοτε,ολον,μονον,κακως
8,αλλ,perspersbaeDiomedes,θελει,αυτω,perspershZeus,φευγοντων,πως,μονον,αλλων,καιρον,εχει,ουχ,εδηλωσεν,θεων,προοιμιοις
9,perspersafAristarchus,perspershZeus,αλλως,παρ,οσον,ποιει,μεχρι,ενος,perspersagbHector,αυτης,ων,υφ,ταρταρον,οπλα,μυθον
10,perspershZeus,perspersagbHector,δηλοι,θεους,ελληνας,δι,αλλως,αυτων,ποιητης,φασι,τοπος,τρωες,ρητεον,μεταφορα,καιρω
