1,δυναται,αρχης,στικτεον,υποστικτεον,αλλης,αναγνωστεον,εμφαινει,εξης,λεγομενον,ετερας
2,perspersaeZenodotus,γραφει,perspersbaAristophanes,ελλειπει,περισσος,θηλυκως,ιακως,λεγει,διπλη,perspersagHomer
3,εξης,λογος,τελος,βελτιον,ανω,οιον,ονομα,στιχου,συναπτεον,μεσου
4,ειρηται,perspersaeerror,σημειουνται,λεγει,προθεσις,ιδιως,perspersdgPoseidon,perspersbbAgamemnon,ορος,ετερου
5,perspersaferror,πτωσις,perspersabgAjax,ηλλακται,λεγεται,δυικως,λεγει,perspersaAchilles,εξης,λεγειν
6,εχει,ομοιως,perspersafAristarchus,τελους,τονον,λεγει,διχως,οξειαν,οξεια,οξυνεται
7,λεγει,σημαινει,διπλη,μια,στιχος,σημαινομενον,γραφουσι,ποταμος,ομωνυμος,λεξις
8,γραφεται,λεγει,σχημα,δει,καλει,perspersdicAeliusHerodianus,βουλεται,λεγειν,perspershZeus,δηλον
9,αθετουνται,εως,στιχοι,τισι,αρμοζει,perspersaAchilles,perspersagbHector,perspersagHomer,λεγει,εντευθεν
10,περισπαστεον,λεγει,αλλοις,σαφως,ουτω,ενιοι,ποιητης,μασσαλιωτικη,perspershZeus,βεβαιωτικος
11,χωρις,αλλοι,λογου,αθετειται,μερος,λεγει,ενθαδε,perspersaehPatroclus,ποιητης,perspersagHomer
12,απαξ,συνδεσμον,αυτοις,κεχρηται,διπλη,ειρηκε,perspersaAchilles,perspersagHomer,λεγει,εδει
13,perspersafAristarchus,διασταλτεον,βραχυ,εξης,λειπει,ρημα,κειται,προθεσιν,ειρηκεν,δυναται
