1,εξης,αθετουνται,οιον,στιχοι,ημεις,perspersbhbIris,μετακεινται,λεγει,perspershZeus,ταυτην
2,διασταλτεον,βραχυ,εξης,φερεται,ταρταρον,συναπτειν,συλλαβην,στικτεον,ποιητη,πληθυντικον
3,αυτω,τελος,κυριον,ειπεν,εθος,εξης,perspershZeus,προθεσις,εναντιον,διανοια
4,ιππων,perspershZeus,πληρες,μεταξυ,διαστημα,τουτους,τισι,τειχους,ταφρος,νηων
5,γραφεται,αλλ,λεγει,σημαινει,ελλειπει,⁚,ισω,εμοι,ησαν,ηλιον
6,σαφως,perspershZeus,εξης,ταχεια,ορος,θαλασσα,διασταλτεον,αξιοι,πολυλιτανευτος,perspersafAristarchus
7,perspersafAristarchus,perspersaeZenodotus,γραφει,perspersbaAristophanes,εξης,εχει,λεγει,αθετουνται,σημαινει,στιχοι
8,εντευθεν,αθετειται,αυτω,ενταυθα,συντονως,παις,ιππους,ιπποις,ιδης,ημων
9,λειπει,καθολου,ακουσας,οπερ,ενθαδε,σημαινει,φωνης,στιχον,ποτερον,ουρανου
10,perspersafAristarchus,λεγει,perspersagbHector,perspersaeZenodotus,χωρις,ομοιως,διχως,ειπεν,φασι,στιχους
