1,ειπεν,στρατηγικως,perspershZeus,οιον,αυτας,ηθικως,γη,δηλοι,ησαν,φωτος,σφαιροειδης,ποιητης,πασα,ουσα,φιλαδελφιαν
2,perspershZeus,τρωων,αει,αλλως,ελληνων,αυτοις,perspersaafHera,προβαλλεται,μαχη,θορυβωδες,αυξει,perspersgaHeracles,perspersdicAelius,perspersafAristarchus,Herodianus
3,perspersagbHector,perspersbaeDiomedes,φησιν,αλλ,δηλοι,perspershZeus,ηλιου,λεγει,τρια,απειλουντι,perspersaahOdysseus,δι,οσον,μεχρι,οθεν
4,perspersaeZenodotus,perspershZeus,δηλοι,perspersbaAristophanes,γραφει,perspersagbHector,ενταυθα,ποιητης,επιθετον,φησιν,εξης,perspersafAristarchus,ολιγον,καθ,ητταν
5,γραφεται,perspersbbAgamemnon,perspersbaeDiomedes,perspershZeus,αλλ,θεων,δηλοι,οις,φιλοτιμον,σωμα,πως,παντως,μεμνηται,λογων,θελει
6,perspershZeus,πως,perspersaAchilles,αει,perspersagbHector,πολλα,εμφασιν,δηλοι,αλλως,perspersfgAthena,φασι,πολλους,πιθανως,συμφωνον,ρητεον
7,οθεν,κοινον,χωρις,αλλαχου,πολις,μαχην,πεντε,παρ,ουτω,ειπειν,αφισταται,αυτης,αυτους,perspersafAristarchus,εστι
8,αλλ,αυτω,ιππων,μονον,perspersagbHector,μερος,perspershZeus,⸌,ετερου,δε,λεγει,φασι,εδει,θελει,εχει
9,perspershZeus,δηλοι,στικτεον,επιφερει,αλλως,λογον,ραδιως,ολυμπου,τοπον,ελληνων,ειπεν,ωμον,οντα,εικος,δει
10,perspersafAristarchus,εξης,οικειον,εχει,λογος,αυτω,ανω,θεων,βραχυ,perspershZeus,διασταλτεον,λεγει,διδασκει,βουλεται,τειχους
